session,amplitude,location,response_location,reaction_time
6,3.12,0,0,0.5425
6,3.12,0,0,0.5618
6,3.12,0,0,0.5546
6,3.12,0,0,0.5082
6,3.12,0,0,0.4782
6,3.12,0,0,0.5245
6,3.12,0,0,0.3363
6,3.12,0,0,0.5475
6,3.12,0,0,0.5506
6,3.12,8,0,0.5956
6,3.12,4,0,0.3879
6,3.12,4,11,0.8779
6,3.12,6,0,0.5344
6,3.12,0,0,0.5446
7,3.12,0,0,0.3835
7,3.12,16,0,0.5268
7,3.12,1,1,0.4844
7,3.12,0,0,0.2921
7,3.12,18,0,0.3287
7,3.12,18,0,0.352
7,3.12,0,0,0.3929
7,3.12,0,0,0.7264
7,3.12,19,0,0.269
7,3.12,0,0,0.2989
7,3.12,0,0,0.3364
7,3.12,14,14,0.6764
7,3.12,10,10,0.4881
7,3.12,4,4,0.5544
7,3.12,0,0,0.3891
7,3.12,0,0,0.378
7,3.12,0,0,0.3547
7,3.12,0,0,0.4042
7,3.12,2,2,0.8276
7,3.12,8,0,0.5206
8,3.12,0,10,1.0214
8,3.12,0,0,0.3145
8,3.12,0,0,0.2782
8,3.12,13,0,0.3482
8,3.12,0,0,0.533
8,3.12,0,0,0.302
8,3.12,10,0,0.3355
8,3.12,1,1,0.4012
8,3.12,12,0,0.5203
8,3.12,2,2,0.4629
8,3.12,0,0,0.342
8,3.12,0,0,0.6475
8,3.12,0,0,0.3
8,3.12,6,0,0.3644
8,3.12,11,11,0.4978
8,3.12,0,0,0.6125
8,3.12,0,0,0.3914
8,3.12,3,3,0.6487
8,3.12,1,1,0.4675
8,3.12,0,0,0.3387
5,3.12,0,4,1.0963
5,3.12,0,13,0.8188
5,3.12,0,10,0.6239
5,3.12,11,11,0.5456
5,3.12,0,0,0.7092
5,3.12,18,0,0.5242
5,3.12,0,0,1.3633
5,3.12,4,4,1.0406
5,3.12,0,19,0.7177
5,3.12,0,0,1.1113
5,3.12,0,0,0.6323
5,3.12,6,8,0.6264
5,3.12,0,17,0.6025
5,3.12,0,0,0.6696
5,3.12,18,0,0.5541
5,3.12,19,10,0.9287
5,3.12,0,0,0.4804
5,3.12,5,0,0.6063
5,3.12,2,0,0.5203
5,3.12,0,0,0.6524
6,3.12,0,0,0.3787
6,3.12,0,0,0.494
6,3.12,5,14,0.7195
6,3.12,0,0,0.5594
6,3.12,10,10,0.82
6,3.12,12,12,0.7947
6,3.12,1,1,0.5135
6,3.12,13,14,0.7711
6,3.12,10,10,0.618
6,3.12,14,14,0.3888
6,3.12,0,0,0.5362
6,3.12,18,18,0.9685
6,3.12,0,0,0.464
6,3.12,15,15,0.4214
6,3.12,0,0,0.3381
6,3.12,0,11,0.6161
6,3.12,0,14,0.9679
6,3.12,0,0,0.3883
6,3.12,7,0,0.4766
6,3.12,18,0,0.4499
7,3.12,0,0,0.3788
7,3.12,0,0,0.304
7,3.12,13,0,0.4004
7,3.12,0,0,0.462
7,3.12,0,0,0.338
7,3.12,17,17,0.5962
7,3.12,0,0,0.3049
7,3.12,3,0,0.3922
7,3.12,5,0,0.3321
7,3.12,0,0,0.4985
7,3.12,1,1,0.4889
7,3.12,0,0,0.4777
7,3.12,0,0,0.5145
